Complexity,Loss,Equation
1,344.30322,"-0.94134355"
3,344.25998,"x0 * -0.011407667"
4,328.77823,"sin(x0 ^ 0.57330984)"
5,292.7322,"cos(sqrt(x0)) * -10.579453"
6,203.81425,"sin(x0 ^ 0.5724073) / 0.060128354"
7,203.81319,"sin(x0 ^ 0.5724073) / sin(0.060128354)"
8,155.85606,"cos(x0 ^ 0.54670686) * (x0 ^ 0.69712603)"
