Complexity,Loss,Equation
1,755.6573,"-4.2907615"
4,728.2001,"neg(1.0700055 ^ x0)"
5,691.81287,"(1.1697812 ^ x0) / -31.747473"
6,47.51622,"sin(x0 * -0.20660803) * 37.88189"
7,41.997578,"tanh(sin(x0 * -0.20770489)) * 46.881443"
8,32.147053,"(sin(x0 * -0.20677873) * 39.607243) - -4.093739"
9,26.617458,"(sin(sin(x0 * -0.20748125)) - -0.09434573) * 45.262733"
