Complexity,Loss,Equation
1,463.8599,"13.025069"
2,463.7614,"sqrt(x0)"
3,430.45755,"x0 ^ 0.61393386"
4,430.45752,"sqrt(x0 ^ 1.2279277)"
5,430.27917,"(x0 ^ 0.68046224) * 0.7370215"
6,404.4227,"exp(2.2714374 - cos(sqrt(x0)))"
7,327.86887,"x0 ^ tanh(cos(sin(sqrt(x0))))"
8,298.0302,"x0 ^ sin(sin(exp(sin(sqrt(x0)))))"
9,251.03171,"x0 ^ sin(exp(sin(sqrt(x0))) * 1.2159948)"
