Complexity,Loss,Equation
1,45.748726,"10.133304"
3,42.636936,"10.533525 - x0"
4,23.47625,"exp(exp(cos(x0)))"
5,20.213917,"exp(2.6509726 * cos(x0))"
6,15.796091,"14.707063 * cos(x0 * -1.6599042)"
7,1.5319982,"exp(sin(5.734072 * x0)) * 6.8016815"
8,1.1044371,"6.774053 * exp(sin(6.1640944 * sin(x0)))"
9,0.66395324,"-1.9166919 + (exp(sin(5.7567 * x0)) * 7.7388926)"
10,0.406219,"(9.375785 * exp(sin(sin(x0 * 5.7898674)))) - 3.4329743"
11,0.3969822,"(9.137681 * exp(sin(sin(6.0701737 * sin(x0))))) + -3.051955"
12,0.36820439,"(9.140814 * exp(sin(sin(x0 * (6.300866 - x0))))) + -3.117811"
