track_idx,event_id,n_hits,n_obs,kx,ky,kz,k_sr,k_helix,old_log_ratio,old_chi2nu_sr,old_chi2nu_helix,chi2_sr_total_recovered,chi2_helix_total_recovered,chi2nu_sr_K,chi2nu_helix_K,log_ratio_K
0,event65050_track174-hits,49,147,39,39,39,117,5,-1.9345134004582387,10.258828226474732,70.99802258462563,1497.788921065311,10436.709319939968,49.9262973688437,73.49795295732372,-0.38670968958953317
1,event65142_track101-hits,50,150,42,78,42,162,5,-1.8261445723212262,0.021168082988191835,0.13145164957183486,3.1540443652405834,19.71774743577523,3.1540443652405834,0.13598446507431194,3.1439001819485513
4,event65251_track132-hits,27,81,32,39,41,112,5,-12.613736580891109,7.542859208674273e-06,2.2678388702105106,0.0006034287366939418,183.69494848705136,0.0006034287366939418,2.4170387958822546,-8.295425760603335
12,event65753_track25-hits,45,135,39,39,39,117,5,-2.2378340918296957,2.869387938323049,26.894796707491032,384.4979837352886,3630.7975555112894,21.36099909640492,27.929211965471456,-0.2681063777577962
18,event65943_track334-hits,47,141,39,78,39,156,5,-1.4184621673548228,0.4016643498175154,1.6591802872123382,56.23300897445216,233.9444204969397,56.23300897445216,1.7201795624774978,3.4870752506123655
21,event66071_track168-hits,49,147,32,39,39,110,5,-1.1256201908836758,1.154834191853238,3.5593465253336203,168.60579201057277,523.2239392240422,4.556913297583048,3.6846756283383253,0.21246298900296043
22,event66080_track50-hits,45,135,39,39,77,155,5,-2.669327464449952,0.5335218508003354,7.698859590971127,71.49192800724495,1039.3460447811021,71.49192800724495,7.994969575239248,2.1907720075181127
23,event66126_track80-hits,49,147,39,39,42,120,5,-1.9220992897006948,1.1307666978512783,7.729121330030203,165.09193788628662,1136.1808355144399,6.114516218010615,8.00127348953831,-0.26893506317416305
34,event66498_track99-hits,33,99,42,39,42,123,5,-1.9878590849450204,0.002406252802315476,0.01756537735082552,0.23581277462691666,1.7389723577317266,0.23581277462691666,0.018499705933316242,2.5452833258609653
40,event66644_track111-hits,47,141,39,16,16,71,5,0.38014138799448466,0.0020753728804248244,0.001419066769459211,0.2905522032594754,0.20008841449374876,0.004150745760849649,0.0014712383418657997,1.0371835639123137
44,event66910_track35-hits,47,141,39,39,78,156,5,-0.46429092792991034,80.72872718949976,128.43018058856654,11302.021806529967,18108.65546298788,11302.021806529967,133.15187840432264,4.441246490037278
46,event66954_track7-hits,43,129,39,39,39,117,5,0.5040009852535189,55.79687451060449,33.707382215554105,7141.999937357375,4348.25230580648,595.1666614464478,35.066550853278066,2.8315937606285004
48,event67226_track440-hits,49,147,39,39,39,117,5,-0.8760807702734392,0.24124156823511766,0.5793342268999424,35.22126896232718,85.16213135429153,1.1740422987442394,0.5997333193964193,0.6717229405952664
50,event67302_track262-hits,42,126,39,39,32,110,5,-1.4792506263662948,0.0800527553835312,0.35140397444249577,10.006594422941399,44.27690077975447,0.6254121514338374,0.36592479983268156,0.5359830273414882
53,event67442_track263-hits,46,138,39,41,42,122,5,-0.1902407282480733,16.081166956141857,19.450826471410323,2203.1198729914345,2684.214053054625,137.69499206196465,20.182060549282895,1.9202469184048194
55,event67517_track11-hits,48,144,39,39,42,120,5,-0.691525537286858,10.208684384587158,20.384285912001943,1459.8418669959638,2935.3371713282795,60.82674445816516,21.11753360667827,1.057925896179795
56,event67525_track214-hits,49,147,39,78,39,156,5,-0.5249162800425914,0.005225551904323994,0.008832840938305862,0.7629305780313032,1.2984276179309617,0.7629305780313032,0.009143856464302547,4.424084812488269
57,event67583_track44-hits,49,147,39,39,32,110,5,0.6599315807352176,0.039337273253572794,0.020332913291761942,5.743241895021628,2.9889382538890055,0.15522275391950346,0.02104886094288032,1.9980147606218541
73,event68132_track494-hits,49,147,39,39,32,110,5,-0.39214941268136094,0.7086932879738248,1.048978641693496,103.46922004417843,154.1998603289439,2.796465406599417,1.0859145093587599,0.9459337672052758
77,event68268_track350-hits,47,141,32,32,32,96,5,0.4466452170208673,0.06554196531821196,0.0419318387195938,9.175875144549675,5.912389259462726,0.20390833654554832,0.043473450437225926,1.5455201452177354
87,event68504_track85-hits,43,129,39,39,32,110,5,-4.09203446619421,0.4992808231762939,29.88772606329422,63.90794536656562,3855.5166621649546,3.3635760719245065,31.092876307781893,-2.223974020197669
89,event68544_track77-hits,37,111,41,39,39,119,5,-4.877039276615963,0.30123454249922893,39.53447871048206,33.135799674915184,4388.327136863509,33.135799674915184,41.399312611919896,-0.2226500180238137
92,event68587_track165-hits,31,93,42,41,77,160,5,-8.91763065922386,0.003277001261521423,24.454252689344564,0.3014841160599709,2274.2455001090443,0.3014841160599709,25.843698864875503,-4.45110476084987
94,event68671_track80-hits,49,147,39,39,39,117,5,-2.8523342112285808,16.06512485200525,278.3794122415698,2345.508228392767,40921.773599510765,78.18360761309222,288.1815042219068,-1.3045305003598753
97,event68904_track152-hits,45,135,39,32,16,87,5,0.7194207983859409,0.008980648140737771,0.004373883369272461,1.2034068508588613,0.5904742548517823,0.025070976059559612,0.004542109652706018,1.708319259446114
