Complexity,Loss,Equation
1,359.896,"3.0866446"
2,158.94644,"exp(2.848468)"
3,35.72239,"x0 * 39.889687"
4,26.06965,"sin(x0) * 45.233032"
5,20.990103,"49.469 * sin(sin(x0))"
6,9.923582,"32.584248 * sin(x0 * 1.9831007)"
7,4.281135,"(x0 * 57.471413) * sin(exp(x0))"
8,3.863578,"sin(x0 * (1.3515135 + x0)) * 35.996986"
9,1.1033616,"(23.965603 * exp(sin(3.0866446 * x0))) * x0"
10,0.57931185,"x0 * (exp(sin(3.5401144 * sin(x0))) * 24.035326)"
12,0.5331408,"((24.43717 * exp(sin(sin(x0) * 3.5246165))) * x0) - x0"
