Complexity,Loss,Equation
1,352.7715,"x0"
3,198.34389,"1.2162573 ^ x0"
4,192.78436,"sech(x0) ^ -0.20533915"
5,71.58241,"(1.2401551 ^ x0) - 13.86952"
6,65.36437,"sin(x0 * -0.2598102) * 29.403315"
7,19.003172,"x0 * ((x0 ^ 0.74511105) + -6.474121)"
8,11.275659,"9.061774 - (31.94983 * sin(0.2406071 * x0))"
