Complexity,Loss,Equation
1,566.062,"-4.84328"
4,555.53705,"sqrt(x0) + -13.469824"
5,530.6797,"-27.38068 / (1.0403014 ^ x0)"
6,180.38931,"sin(x0 / -11.724184) * 28.425571"
8,174.358,"(sin(x0 / -11.748842) * 28.033363) - 2.4993184"
