Complexity,Loss,Equation
1,619.25824,"-8.093818"
3,545.52704,"x0 + -22.594095"
4,466.99207,"sech(x0) * -65.94685"
5,338.44998,"-62.6697 / (1.2679539 ^ x0)"
6,131.57217,"cos(x0 * 0.19783995) * -34.117725"
8,10.156605,"(cos(x0 * 0.17523085) * -43.09348) - x0"
