Complexity,Loss,Equation
1,1760.2766,"-43.195698"
3,672.8752,"x0 * -0.55945724"
5,583.5178,"(x0 ^ 1.725401) * -0.016775375"
7,571.3353,"((x0 - -49.62909) * -0.003178624) * x0"
8,566.29974,"((x0 * x0) * -0.003695786) - sqrt(x0)"
9,534.73944,"x0 * (((x0 * x0) * -1.627554e-5) + -0.28219047)"
