Complexity,Loss,Equation
1,234.35197,"-17.183834"
2,87.16435,"neg(x0)"
3,24.949228,"x0 / -0.6489093"
4,18.384104,"neg(x0 ^ 1.1539706)"
5,8.604426,"7.8579235 - (x0 * 2.0033195)"
8,7.4329762,"(x0 - (4.409423 ^ tanh(x0))) * -2.080203"
9,7.1035695,"neg((x0 - 7.850076) + (x0 + cos(x0)))"
