Complexity,Loss,Equation
1,124.27357,"-20.65867"
3,49.80984,"-8.158831 - x0"
4,41.676857,"sqrt(x0) * -6.383668"
6,40.661522,"(sqrt(x0) * -7.1138554) - -2.7713802"
7,36.333767,"((0.88602173 ^ x0) + -0.9112336) / 0.029023308"
8,36.331573,"((0.88602173 ^ x0) + -0.9112336) / sin(0.029023308)"
9,34.451878,"(-6.3847404 + sin(x0 ^ 6.0610213)) * sqrt(x0)"
