Complexity,Loss,Equation
1,18.195992,"-3.7235792"
3,3.5481794,"x0 * -0.381386"
5,0.4824163,"x0 * (x0 * -0.021160033)"
7,0.01773708,"1.3793417 - ((x0 ^ 1.7224916) * 0.05736228)"
