Complexity,Loss,Equation
1,234.35197,"-17.183554"
3,24.949228,"x0 / -0.6489233"
5,8.604425,"(x0 * -2.0033195) + 7.8579082"
7,8.604422,"x0 + ((x0 * -3.0033236) - -7.8579865)"
8,6.632942,"((cos(x0) + x0) * -2.0050251) + 7.9466763"
