Complexity,Loss,Equation
1,23.07293,"5.740319"
2,20.26472,"sqrt(x0)"
3,0.31570956,"1.1256114 ^ x0"
4,0.31570947,"sqrt(1.2670029 ^ x0)"
5,0.04708411,"(x0 / 5.3283587) ^ 1.8305943"
6,0.02288366,"2.4975898 ^ (sqrt(x0) - 1.849817)"
7,0.0041811503,"((x0 / 6.0533347) ^ 1.9866754) + 0.46667653"
