0.000000000000000000e+00,3.076428246035210368e+00
4.751386302136872616e-03,5.163887465932862852e+00
9.653182091606152954e-03,7.254897402253540406e+00
1.476589267897802406e-02,9.336787602730577618e+00
2.013773482983713739e-02,1.139138490680286786e+01
2.581551644813699295e-02,1.340122969091293470e+01
3.185370255147594587e-02,1.535337108702121256e+01
3.827318179974969342e-02,1.722696853989490506e+01
4.511544377525968791e-02,1.901155504126588269e+01
5.239572410392622642e-02,2.069304002516587815e+01
6.011838360158856809e-02,2.225948587717411087e+01
6.829162868485504079e-02,2.370376791792701709e+01
7.692322102952657559e-02,2.502131970897322688e+01
8.601394496077509333e-02,2.620849859207552868e+01
9.557444243559619357e-02,2.726428661191433278e+01
1.056187534443996240e-01,2.818828699166479623e+01
1.161911658290340488e-01,2.898197183325666515e+01
1.273492405885945922e-01,2.964539104174466289e+01
1.391973494770869513e-01,3.017776934889442231e+01
1.518996738181117578e-01,3.057506946400716785e+01
1.657491189527177944e-01,3.082765879705594259e+01
1.812951783229995173e-01,3.091312173495579430e+01
1.999237845526050383e-01,3.077357865431259043e+01
2.283514390868052468e-01,3.012976829383526578e+01
2.615468312776041415e-01,2.887791422723080359e+01
2.826421475000865380e-01,2.796118932691541659e+01
2.942399574450121902e-01,2.750753015969355531e+01
3.030913660311452817e-01,2.723497602110094462e+01
3.106378193289839329e-01,2.708271136937085899e+01
3.175363349763690723e-01,2.702621757203870345e+01
3.242378058228314597e-01,2.705400471333097556e+01
3.311885613247181892e-01,2.715966723479946765e+01
3.391397601381793137e-01,2.732992167975366371e+01
3.502836338316469567e-01,2.746892536296822129e+01
3.773604416552128193e-01,2.641895675843435143e+01
4.220319038508850151e-01,2.256490296742536472e+01
4.542583219987177401e-01,1.954158484468989698e+01
4.750031742731781192e-01,1.777293558591924594e+01
4.929563630812335284e-01,1.647477924731267507e+01
5.101710839790876140e-01,1.553446140390467711e+01
5.281868211393196955e-01,1.500464278499812210e+01
5.502283710742075229e-01,1.527145615477849283e+01
6.079179823904717894e-01,2.390557566807467893e+01
7.078561672235690327e-01,4.019225490100141229e+01
7.182377590783890486e-01,3.739139710991313592e+01
7.249460832794999421e-01,3.481425959426609751e+01
7.306331378176684765e-01,3.238289131999807324e+01
7.358769795989558160e-01,3.006477064600369076e+01
7.408907173616997577e-01,2.784219319307613105e+01
7.457800364949547234e-01,2.570129747065124803e+01
7.505905953224709659e-01,2.363868711722694371e+01
7.553613781367850555e-01,2.164775911504592187e+01
7.601081261576765336e-01,1.972994837520716516e+01
7.648644522060920048e-01,1.788029248861130682e+01
7.696554301048488256e-01,1.610090540668300818e+01
7.745352876179484314e-01,1.439086200439714247e+01
7.796329578436593799e-01,1.274342804379885941e+01
7.853395869218255942e-01,1.114045824297997811e+01
7.964498327536554401e-01,1.113442657769500599e+01
8.013192627464523765e-01,1.326492637827139376e+01
8.065871923484803085e-01,1.547997711288382128e+01
8.120233481315117796e-01,1.764507877969260363e+01
8.174886015386541027e-01,1.971989291185659710e+01
8.229344831369848068e-01,2.170152579524267722e+01
8.283520353745843501e-01,2.359819769282398738e+01
8.337522831635325593e-01,2.542178079532218149e+01
8.391499561461022161e-01,2.718278273683606017e+01
8.445569004309457783e-01,2.888910989133703922e+01
8.499884775176783647e-01,3.054905106505656320e+01
8.554576755553146006e-01,3.217089483079734435e+01
8.609686650923019657e-01,3.376594483515498268e+01
8.664585056025818632e-01,3.536212239062125207e+01
8.717672705975276770e-01,3.604273430530191291e+01
8.834398510669708715e-01,3.512731114372937924e+01
9.010438474848764256e-01,3.413259955431232839e+01
9.272731398935664116e-01,3.368110818364545622e+01
9.437279138026110070e-01,3.404401647129625275e+01
9.540825212886643314e-01,3.452761293214179261e+01
9.625021003346561077e-01,3.506436350342547570e+01
9.698904098674715479e-01,3.563950065317472848e+01
9.766181281966357375e-01,3.624593203956754195e+01
9.828961192415541781e-01,3.688094747873566348e+01
9.888345217214926652e-01,3.754098677857277266e+01
9.945188249078507070e-01,3.822475045576432251e+01
1.000000000000000000e+00,3.893004157478827665e+01
