,particle_id,r,phi,z,layer_id,hit_id
2457,1358,3.1028707328659864,-1.7128630082865806,-1.3312613492153602,1,2458
2458,1358,5.181767810572229,-1.7128176442961025,-2.267901828533269,2,2459
2459,1358,7.261570930914293,-1.713117981576414,-3.245199900555398,3,2460
2460,1358,9.337909930876236,-1.713820524536822,-4.265794277245014,4,2461
2461,1358,11.416797406747548,-1.7150031218561692,-5.338654183755338,5,2462
2462,1358,13.496962946171555,-1.7167689085382096,-6.471083947142368,6,2463
2463,1358,15.575394636308928,-1.719256943999061,-7.67177366306872,7,2464
2464,1358,17.656009479166077,-1.7226758564771332,-8.957186984163641,8,2465
2465,1358,19.73430477953804,-1.7273237890414066,-10.344743618900516,9,2466
2466,1358,21.81334914555396,-1.733695085316541,-11.86694454402397,10,2467
2467,1358,23.892061473630715,-1.7426411395533,-13.573257498803624,11,2468
2468,1358,25.97194572641165,-1.7558837853304134,-15.55902091137524,12,2469
2469,1358,28.05001506781828,-1.7777874180125322,-18.042844082547862,13,2470
2470,1358,30.129518465897387,-1.8305502277715853,-22.026479605670453,14,2471
2471,1358,30.128957801249737,-2.002919142848056,-28.317964443941488,14,2472
2472,1358,28.049748248391083,-2.334301831379071,-32.826764393052,13,2473
2473,1358,28.050053594660824,-2.6241870432778778,-34.41058800473984,13,2474
2474,1358,30.129485737148663,-2.905048544879879,-34.94669962478194,14,2475
2475,1358,32.20874161288335,-3.048045338513033,-34.851199692087555,15,2476
2476,1358,34.288190751461705,3.131661105203841,-34.5735563433949,16,2477
2477,1358,36.36784767436481,3.0495409283572297,-34.18443013489646,17,2478
2478,1358,38.44596736033024,2.981243328967744,-33.710349591208455,18,2479
2479,1358,40.526393499776844,2.9225696325820243,-33.162736487953666,19,2480
2480,1358,42.606183977859104,2.871107281402025,-32.54877476942599,20,2481
2481,1358,44.684585952557306,2.825187413288383,-31.872297459082954,21,2482
2482,1358,46.76429113777403,2.7835558925570134,-31.13422346305495,22,2483
2483,1358,48.842521382239326,2.745377005514284,-30.336234161602302,23,2484
2484,1358,50.92199945083803,2.7099073848788207,-29.47721657969088,24,2485
2485,1358,53.0016563207351,2.6766093752605347,-28.556902763316145,25,2486
