,particle_id,r,phi,z,layer_id,hit_id
133,486,3.1009783451502586,-1.074748832934616,-2.8264145499854862,1,134
134,486,5.180787929697406,-1.1071972271751649,-4.839046973376341,2,135
135,486,7.259683385184925,-1.1404100265916997,-6.943875097725936,3,136
136,486,9.338473391467025,-1.1745574633566118,-9.14163074980688,4,137
137,486,11.417639213237807,-1.2098135369937872,-11.433379030708863,5,138
138,486,13.497061951830986,-1.246355798038713,-13.820156944145763,6,139
139,486,15.575735601894856,-1.2843646803366844,-16.30257729252513,7,140
140,486,17.655398117364747,-1.3240995019436457,-18.885389698525444,8,141
141,486,19.733818170123108,-1.365786173320474,-21.56963324583209,9,142
142,486,21.81372769113783,-1.4098112755257062,-24.36441646299353,10,143
143,486,23.891754442594262,-1.456529651469163,-27.27343200731994,11,144
144,486,25.97083984234127,-1.5065874562073156,-30.313449139739305,12,145
145,486,28.05012187149384,-1.5608139356520827,-33.50389864786394,13,146
146,486,30.13006386005221,-1.6205672784970735,-36.88115754671916,14,147
147,486,32.20905825892854,-1.6881947736972005,-40.510383742625365,15,148
148,486,34.28838612546865,-1.768889411538927,-44.54693261349349,16,149
149,486,36.367151878110455,-1.879139630772385,-49.49596334568176,17,150
150,486,36.36638409582364,-2.237710992609421,-60.65029008295853,17,151
151,486,34.28677372587569,-2.3607331522246096,-62.85683371831924,16,152
152,486,32.20741861037198,-2.460582575998693,-64.19439378506834,15,153
153,486,30.128551842550173,-2.555468997326198,-65.17944612525707,14,154
154,486,28.04967537588936,-2.6530126636376004,-65.97563439187982,13,155
155,486,25.969158718935272,-2.759473652589187,-66.6630705015588,12,156
156,486,23.89053126106997,-2.882434592852547,-67.29202984365595,11,157
157,486,21.81236333548283,-3.0354970236155694,-67.9105407355937,10,158
158,486,19.7331293286904,3.0295284881118087,-68.60104021451373,9,159
159,486,19.73398271704593,2.060956290312656,-70.94699006472162,9,160
160,486,21.81384163560985,1.8537985741054936,-71.56517206940316,10,161
161,486,23.89349215537713,1.7138179379008696,-72.07305812546986,11,162
162,486,25.97294571211926,1.6066683894245517,-72.53618415049496,12,163
163,486,28.05249604991773,1.5195974882974532,-72.97715542158357,13,164
164,486,30.13115995147896,1.446200780683195,-73.40652648705621,14,165
165,486,32.20898417511548,1.3826795428539296,-73.83034270648557,15,166
166,486,34.28762821789694,1.3265443846715967,-74.25265548369593,16,167
167,486,36.36691959798021,1.2761308069225177,-74.67585363140188,17,168
168,486,38.4477882343142,1.230214861563467,-75.10176035588128,18,169
169,486,40.52723515017183,1.187957303490253,-75.53085733725048,19,170
170,486,42.60680155391772,1.148622493305675,-75.96415995592179,20,171
171,486,44.68540030515218,1.111670490297336,-76.4018207443577,21,172
172,486,46.76498964323344,1.0766066245102253,-76.8443485630259,22,173
173,486,48.84374578813786,1.0430711298339872,-77.29116761714337,23,174
174,486,50.921719943741685,1.010717045200049,-77.74178099842462,24,175
175,486,53.00274318631872,0.9791685913839128,-78.19613984422817,25,176
