,particle_id,r,phi,z,layer_id,hit_id
0,11,3.1008842706932422,-1.6291129490153131,1.1999600235570045,1,1
1,11,5.179643789002457,-1.613013727148618,1.980693419818806,2,2
2,11,7.259805568872363,-1.5979072306860234,2.739764771362047,3,3
3,11,9.33760690541087,-1.5837733111660766,3.4734133619711187,4,4
4,11,11.418843529649322,-1.5705232255428894,4.181470311655495,5,5
5,11,13.49673364547839,-1.558149215604247,4.859591272414043,6,6
6,11,15.576779302783375,-1.5465672547992906,5.507659816813181,7,7
7,11,17.65423097104178,-1.5357547125310316,6.122318162021955,8,8
8,11,19.73429195668105,-1.5256379501498407,6.703204436797208,9,9
9,11,21.814258388834403,-1.51618761461754,7.247531456668355,10,10
10,11,23.893633103713643,-1.507364925203254,7.753089909535141,11,11
11,11,25.97149415064175,-1.4991354168026427,8.217424891027896,12,12
12,11,28.051420590311785,-1.4914509708562032,8.638753485297777,13,13
13,11,30.131122961254945,-1.4842899211692815,9.013615628025988,14,14
14,11,32.20986380792888,-1.4776268876383605,9.338487031194468,15,15
15,11,34.28804458454862,-1.471436038607076,9.609398852495232,16,16
16,11,36.36894404157436,-1.4656879106821097,9.821711027844415,17,17
17,11,38.44628696408119,-1.4603831133965348,9.968628056216003,18,18
18,11,40.52646980147799,-1.455493134462061,10.04271337438795,19,19
19,11,42.605999966358375,-1.4510204660434844,10.033281305575764,20,20
20,11,44.68466598800211,-1.4469661969960417,9.926105636564088,21,21
21,11,46.764018421097845,-1.443339461638048,9.70042859262476,22,22
22,11,48.84326902419728,-1.4401727938490898,9.3241483998927,23,23
23,11,50.92133383466129,-1.4375355205531244,8.742022592262323,24,24
24,11,53.00001511222816,-1.4355868831805696,7.837991048063081,25,25
