,particle_id,r,phi,z,layer_id,hit_id
2557,1168,3.1003998194387807,0.7841485749858462,-0.6057084221758764,1,2558
2558,1168,5.180420304976254,0.6868683578092788,-0.6129484521313877,2,2559
2559,1168,7.259000180048355,0.6191473792370656,-0.4715472561820775,3,2560
2560,1168,9.33849756325153,0.5688504548426653,-0.2403351316859776,4,2561
2561,1168,11.416851777977952,0.5297767220365728,0.049902951256179,5,2562
2562,1168,13.497629700465785,0.4983174580644958,0.3821146913835207,6,2563
2563,1168,15.57563988197768,0.4723836698994941,0.7445167312360219,7,2564
2564,1168,17.656639874561844,0.4504997465300837,1.1308648828373364,8,2565
2565,1168,19.73452642651237,0.4317784909477226,1.5350027022253343,9,2566
2566,1168,21.81493857128389,0.4154965362634767,1.954394517518864,10,2567
2567,1168,23.893700364553123,0.40120037831301,2.385513181296417,11,2568
2568,1168,25.97284593899632,0.3885098992180427,2.8267086165694977,12,2569
2569,1168,28.05070796059875,0.377156246177713,3.2760079905341826,13,2570
2570,1168,30.13093810352247,0.3669035894760489,3.732913974449573,14,2571
2571,1168,32.208605488785565,0.3576044285791355,4.1952865303058005,15,2572
2572,1168,34.29034018824223,0.3490916043230523,4.663724091976796,16,2573
2573,1168,36.36969363810282,0.3412796010597408,5.136030316677903,17,2574
2574,1168,38.44795054018711,0.3340687749344151,5.611833636679634,18,2575
2575,1168,40.52711714318197,0.3273743327601831,6.091013689025438,19,2576
2576,1168,42.60601366499086,0.3211346621189019,6.572774235601905,20,2577
2577,1168,44.68379545731358,0.3152958856527863,7.056428872521842,21,2578
2578,1168,46.76371309051999,0.3098008702898863,7.542270997299013,22,2579
2579,1168,48.845455435031184,0.3046093061090235,8.02977899634979,23,2580
2580,1168,50.92114593109789,0.2997030031765671,8.516654082199032,24,2581
2581,1168,53.00216131944674,0.2950220497582436,9.005103883563358,25,2582
