,particle_id,r,phi,z,layer_id,hit_id
1006,689,3.1007043342918994,-1.693131631215026,-2.012925818129265,1,1007
1007,689,5.18056307827864,-1.6440911530697446,-3.185354983235156,2,1008
1008,689,7.2594008022756125,-1.5980323678082586,-4.246815070420023,3,1009
1009,689,9.337924917052804,-1.55421352942721,-5.218276531250684,4,1010
1010,689,11.417348984982826,-1.511997453606287,-6.11626557418211,5,1011
1011,689,13.496418826012942,-1.470868558973896,-6.952841531082939,6,1012
1012,689,15.575810414387597,-1.43030872101939,-7.738339381346686,7,1013
1013,689,17.655266996788185,-1.3898236312243022,-8.480684082190503,8,1014
1014,689,19.734154171677726,-1.3488970444355797,-9.18602864475182,9,1015
1015,689,21.813249941294064,-1.3069118449385555,-9.85953456477623,10,1016
1016,689,23.89206422252746,-1.2631381101905808,-10.50447406300628,11,1017
1017,689,25.97117777187522,-1.216577359494018,-11.12276492745136,12,1018
1018,689,28.05052986892139,-1.165793568825921,-11.7137138342786,13,1019
1019,689,30.12973686566345,-1.1084708751473469,-12.272297215266132,14,1020
1020,689,32.20885039739023,-1.0402570724531328,-12.784122199642136,15,1021
1021,689,34.28765676359119,-0.9507620020071588,-13.20558691757052,16,1022
1022,689,36.36675955988901,-0.7914485211633125,-13.301056048511176,17,1023
1023,689,36.36643392891932,-0.5374841650511016,-12.035095710021334,17,1024
1024,689,34.286922524935704,-0.3974832346088287,-10.769815064133637,16,1025
1025,689,32.208233860462045,-0.3536482463404923,-10.3080016879518,15,1026
1026,689,30.129127692219203,-0.3513072608774078,-10.283478248240243,14,1027
1027,689,28.049432441373767,-0.3797313915098384,-10.591078945113177,13,1028
1028,689,25.97030858151889,-0.4391762675661823,-11.210851350928383,12,1029
1029,689,23.890674045278622,-0.5406847721725553,-12.215649499157449,11,1030
1030,689,21.81185746907841,-0.731829316820952,-14.004853611068093,10,1031
1031,689,21.812707268333,-1.2966543078534003,-19.63109345707997,10,1032
1032,689,23.89211350453053,-1.5185800105808105,-22.606413934474425,11,1033
1033,689,25.971943778128573,-1.6575122439437944,-24.97630050657588,12,1034
1034,689,28.05026423835285,-1.76319021179457,-27.17275385661446,13,1035
1035,689,30.130633169369748,-1.8504745393714293,-29.323030360549826,14,1036
1036,689,32.209011025676105,-1.9262406047723664,-31.48502265566233,15,1037
1037,689,34.28783009077332,-1.994833135024756,-33.704418742413125,16,1038
1038,689,36.36735796909732,-2.059292052044458,-36.02056245794108,17,1039
1039,689,38.44632415356352,-2.1221737822732427,-38.47580474230168,18,1040
1040,689,40.52548064836235,-2.1862427948053544,-41.12962076347438,19,1041
1041,689,42.604435353312205,-2.2551904879759066,-44.07366951173793,20,1042
1042,689,44.68356776548071,-2.335671556109728,-47.48268339757503,21,1043
1043,689,46.76268276017047,-2.4451945873139103,-51.79962212204579,22,1044
1044,689,48.841760248762505,-2.732715175125489,-60.11280096987127,23,1045
1045,689,50.92114111029114,2.8897711718537185,-66.12436491695264,24,1046
1046,689,53.000354282326896,2.7023402341103555,-65.67083068182114,25,1047
