,particle_id,r,phi,z,layer_id,hit_id
1,367,3.1003859410378665,-2.3863761916173387,1.8014082478387152,1,2
2,367,5.179825164497138,-2.3254076632748992,2.8822049796279074,2,3
3,367,7.258411779031001,-2.256337463802624,3.850858644606575,3,4
4,367,9.338002719134154,-2.1781223990467526,4.69451774177314,4,5
5,367,11.417802807942724,-2.090768395560408,5.395721233128413,5,6
6,367,13.496950083736593,-1.996124290432598,5.939182392657912,6,7
7,367,15.575597733158313,-1.8981548213407533,6.320489931937402,7,8
8,367,17.654382955293485,-1.801930262249642,6.5512966379424284,8,9
9,367,19.734324225948274,-1.7117750657997783,6.655783654349385,9,10
10,367,21.81399311949816,-1.6302460751219694,6.661469169386187,10,11
11,367,23.892480809130493,-1.5580948515930173,6.592367767947238,11,12
12,367,25.97157854873733,-1.494896943143031,6.4662550012373,12,13
13,367,28.05020304902948,-1.439848326806778,6.295437579240328,13,14
14,367,30.130563977861016,-1.3919357719837444,6.08779232468963,14,15
15,367,32.208440731183515,-1.3503365443248272,5.848964451681162,15,16
16,367,34.289164100476846,-1.3141349889875305,5.581597855755547,16,17
17,367,36.36679019183675,-1.282744278822766,5.288410689145465,17,18
18,367,38.44678320871487,-1.2555013902635317,4.96970705943005,18,19
19,367,40.52592667353257,-1.2319730102662132,4.626400259784617,19,20
20,367,42.6050758113724,-1.211749632323121,4.258384828672128,20,21
21,367,44.68431709309894,-1.1945016791766327,3.865364459801185,21,22
22,367,46.76253837308882,-1.1799643716528507,3.4470781306667178,22,23
23,367,48.84208209868592,-1.167896605625584,3.0024192843307347,23,24
24,367,50.921139990848246,-1.1581239782672663,2.531042362719255,24,25
25,367,53.00098815994547,-1.150486880997814,2.0318948509868164,25,26
