,particle_id,r,phi,z,layer_id,hit_id
0,38,3.101827363592268,2.312569224018031,0.8341717200084229,1,1
1,38,5.18061175001315,2.321257790725044,1.4593439813751083,2,2
2,38,7.260086421961077,2.329974720546864,2.142305367069673,3,3
3,38,9.33764280084691,2.3387679357185465,2.8860873725912644,4,4
4,38,11.417542880086495,2.347722364557524,3.6960146284874114,5,5
5,38,13.496516025995986,2.3569020292905445,4.574074992579709,6,6
6,38,15.5758407533367,2.366405736473024,5.522644048866585,7,7
7,38,17.65431805458609,2.3763418650989747,6.540363474951963,8,8
8,38,19.73423638117183,2.3868636884677046,7.622628055951665,9,9
9,38,21.81291497240706,2.3981371391826816,8.753304516543142,10,10
10,38,23.8921275829504,2.410399854560276,9.902704282528372,11,11
11,38,25.97156800128704,2.423942600881904,11.012900216816243,12,12
12,38,28.05078620717392,2.439142885288116,11.981789094217923,13,13
13,38,30.129753684771703,2.4565521997545003,12.640149431081811,14,14
14,38,32.20875154531747,2.477340750186412,12.708901838788927,15,15
15,38,34.28767291666638,2.507959056609515,11.43153221523287,16,16
16,38,34.28749921400269,2.540721761205268,8.957155171051737,16,17
17,38,32.20798900650046,2.564817654913269,7.20143433675972,15,18
18,38,30.12891240690796,2.5802768088164822,6.303486956167566,14,19
19,38,28.049996739683458,2.5940889210717133,5.659086350089939,13,20
20,38,25.969357076409644,2.607813631612905,5.141886211853446,12,21
21,38,23.89043072440307,2.6222805636865925,4.700444990041655,11,22
22,38,21.811902671880112,2.638224722284168,4.307104156432946,10,23
23,38,19.73232984454366,2.656473457498407,3.9455218323266497,9,24
24,38,17.65310886925322,2.678092946166997,3.605679372614227,8,25
25,38,15.573866189337169,2.7046685443010707,3.280529418932808,7,26
26,38,13.495832942020352,2.738708321385192,2.9651938753676967,6,27
27,38,11.4164393052089,2.784674110591563,2.65520355189156,5,28
28,38,9.336870450566456,2.851174389703857,2.3466728855537697,4,29
29,38,7.258207660238743,2.957889766056246,2.033778088418062,3,30
30,38,5.178812639436339,-3.1182129745860467,1.7006340705613157,2,31
31,38,5.179381283218771,-1.2806979917777153,0.6039897427489667,2,32
32,38,7.258414348484544,-1.0739820994364635,0.2896848468470887,3,33
33,38,9.340042558445512,-0.9675635112086712,0.0032855505192965,4,34
34,38,11.418642987300714,-0.9016601713488168,-0.2683469592908345,5,35
35,38,13.49794736068126,-0.8563813439233853,-0.5293441582360661,6,36
36,38,15.575925801882171,-0.8231821417548264,-0.7803455940738062,7,37
37,38,17.654948731321767,-0.797638644589711,-1.0214560014359493,8,38
38,38,19.73411471571352,-0.7772836280920467,-1.2518312374929277,9,39
39,38,21.81434533783973,-0.7605929373254795,-1.4704877672313854,10,40
40,38,23.894079218228267,-0.7465976224319549,-1.6759219298879513,11,41
41,38,25.972330048092697,-0.7346358249762519,-1.866499497451167,12,42
42,38,28.051964548811107,-0.7242234066044568,-2.040715078786932,13,43
43,38,30.13248961618653,-0.7150257197880685,-2.196510878964732,14,44
44,38,32.20997603376631,-0.7068052441949698,-2.331402837503161,15,45
45,38,34.290898830273974,-0.6993425873316143,-2.4433243613254425,16,46
46,38,36.36772495170189,-0.6925126866345657,-2.5291162242738374,17,47
47,38,38.446519648283896,-0.6861728354275809,-2.5859680025510383,18,48
48,38,40.5261183676425,-0.6802274278282433,-2.610297463713335,19,49
49,38,42.60502360602772,-0.6745964226371828,-2.5981343291061267,20,50
50,38,44.68457430425878,-0.6692031590245493,-2.544974755617265,21,51
51,38,46.7654159811817,-0.6639811017322016,-2.445584058093964,22,52
52,38,48.84430786537002,-0.6588782553801971,-2.294183113034632,23,53
53,38,50.92341152178879,-0.6538317426094187,-2.083738834380409,24,54
54,38,53.000642554525406,-0.6487894631995804,-1.8063724404368424,25,55
