,particle_id,r,phi,z,layer_id,hit_id
3538,1422,3.102874585632129,-2.73489558127769,2.2496845237174625,1,3539
3539,1422,5.182301842893812,-2.7411422414100057,3.780798174270302,2,3540
3540,1422,7.258722787893176,-2.7471828201778856,5.329110850512073,3,3541
3541,1422,9.338834491230257,-2.75304389038728,6.900379470117862,4,3542
3542,1422,11.41855652662742,-2.758720176370081,8.492535992614716,5,3543
3543,1422,13.496980991933434,-2.7642156314120423,10.10606183885994,6,3544
3544,1422,15.576110957903106,-2.7695414277540715,11.743974245070127,7,3545
3545,1422,17.65728060022646,-2.774706102374951,13.409158414311111,8,3546
3546,1422,19.734734059233848,-2.779700730081305,15.099127215155324,9,3547
3547,1422,21.81475633601591,-2.7845455020891188,16.821560799576858,10,3548
3548,1422,23.89306258975453,-2.789235160158793,18.57605012502878,11,3549
3549,1422,25.97333820332668,-2.7937828146248003,20.36949754601779,12,3550
3550,1422,28.05169251377206,-2.798184937796745,22.20316132473469,13,3551
3551,1422,30.13095524327988,-2.802453025167121,24.08518807091099,14,3552
3552,1422,32.2085067670499,-2.8065879591332354,26.02025294466175,15,3553
3553,1422,34.28880232710044,-2.810606092916637,28.02152720515348,16,3554
3554,1422,36.36878953932206,-2.8145112842228546,30.09780664309909,17,3555
3555,1422,38.44661592584757,-2.818314297713614,32.26250207798367,18,3556
3556,1422,40.526545547813136,-2.82204424025688,34.54118958788127,19,3557
3557,1422,42.6044909689576,-2.8257284695058287,36.9596628640428,20,3558
3558,1422,44.683810759422,-2.829434531704586,39.56790111576513,21,3559
3559,1422,46.76296556483791,-2.8332813847010385,42.440973668245775,22,3560
3560,1422,48.842389783873216,-2.837553121406854,45.72737724932373,23,3561
3561,1422,50.9209944174786,-2.8431469015333795,49.80262016769879,24,3562
3562,1422,50.920534262797126,-2.9018763820893088,61.25976025710952,24,3563
3563,1422,48.84117202043881,-2.9351821781815945,60.336809352370935,23,3564
3564,1422,46.76211923610888,-2.969255469764593,58.19402813712298,22,3565
3565,1422,44.68326746080563,-3.004452055617941,55.379235094813815,21,3566
3566,1422,42.60360921827313,-3.040834622804353,52.18843565503527,20,3567
3567,1422,40.5241374789193,-3.0786040166951785,48.81215815385231,19,3568
3568,1422,38.44535233730407,-3.1182160349752315,45.37111951021892,18,3569
3569,1422,36.36560576204186,3.1227554327424007,41.93473325304598,17,3570
3570,1422,34.28641025227494,3.0769459184765333,38.54473807934887,16,3571
3571,1422,32.20761622847163,3.0261235910868893,35.2168609195718,15,3572
3572,1422,30.12844142346613,2.9682541011926404,31.94776710496043,14,3573
3573,1422,28.049477287451047,2.900314455510648,28.71859886937668,13,3574
3574,1422,25.96988096687717,2.8172522520961483,25.4833727767659,12,3575
3575,1422,23.891403157586915,2.70953242628826,22.14809714005117,11,3576
3576,1422,21.81183116352844,2.5523340614531587,18.43823424970612,10,3577
3577,1422,21.812899128170887,1.8125439163221533,8.067311830038616,10,3578
3578,1422,23.89200158262532,1.6877934116863775,6.727170258456344,11,3579
3579,1422,25.971225212447333,1.618605300403729,6.082312946651904,12,3580
3580,1422,28.05083568649328,1.5818113253276904,5.916711339955228,13,3581
3581,1422,30.129363821957263,1.5699366283979668,6.21892637732741,14,3582
3582,1422,32.208397201594146,1.5809298775385812,7.08978077784786,15,3583
3583,1422,34.28783399803704,1.6158401383712122,8.791209157601386,16,3584
3584,1422,36.36699843645455,1.6772031373067096,12.006470499127676,17,3585
3585,1422,38.44594116746882,1.751968645379176,19.966179829496653,18,3586
3586,1422,40.52545526604513,1.5862037710752117,33.87853644209448,19,3587
3587,1422,42.60456081258707,1.4579944621962395,38.261183880798086,20,3588
3588,1422,44.68361586306624,1.36677126356361,40.9175729994662,21,3589
3589,1422,46.7629404041932,1.2942396821854931,42.88643911572661,22,3590
3590,1422,48.84283130974213,1.23348048933957,44.471018488431206,23,3591
3591,1422,50.92090518711617,1.1810198468621695,45.80208787455292,24,3592
3592,1422,53.0000205414033,1.1346673824079616,46.951590826311126,25,3593
