Complexity,Loss,Equation
1,344.30322,"-0.94072866"
3,344.25998,"x0 * -0.0114142"
4,328.77823,"sin(x0 ^ 0.5733175)"
5,292.7322,"cos(sqrt(x0)) * -10.579606"
6,201.38422,"cos(x0 / 16.383614) * 17.330927"
7,187.60468,"cos(sqrt(x0 * 2.4342575)) * -17.666971"
8,154.33629,"x0 * (cos(x0 * -0.060900297) * 0.24811046)"
