Complexity,Loss,Equation
1,566.062,"-4.8423076"
4,555.53705,"sqrt(x0) + -13.470322"
5,530.67786,"(0.96139336 ^ x0) * -27.461748"
6,180.38939,"sin(x0 * -0.08529762) * 28.41795"
8,174.35805,"(sin(x0 * -0.08511453) + -0.08935758) * 28.038887"
