Complexity,Loss,Equation
1,3477.3035,"-58.127163"
3,2538.4397,"x0 - 72.625755"
5,47.65381,"(x0 * 6.7660446) - 156.23361"
7,47.653797,"((x0 * 6.766069) + -40.979076) - 115.25496"
8,45.72917,"(-156.09738 - cos(x0)) + (x0 * 6.7555566)"
9,44.537865,"-145.54787 - ((neg(sqrt(x0)) + x0) * -7.986301)"
