Complexity,Loss,Equation
1,657.4828,"-1.5321469"
3,538.70685,"x0 * -0.13032362"
4,478.9258,"neg(1.0251795 ^ x0)"
5,286.29987,"(x0 * -0.4540304) - -31.613396"
6,112.75728,"sin(x0 * 0.040397853) * 32.283695"
7,102.226135,"tanh(sin(x0 * 0.041009996)) * 40.483456"
8,97.777,"tanh(tanh(sin(x0 * 0.041219886))) * 46.375095"
9,96.37486,"tanh(tanh(sin(sin(x0 * 0.04121637)))) * 49.37451"
